State,Period,Coronavirus,COVID,Toilet Paper,Taste Loss,Hand Sanitizer,Fever,Zoom,Bats,Quarantine,Pandemic,Face Mask,Coronavirus Testing,Cough,Restaurants,Lockdown
Alabama,0,41,28,53,14,37,82,48,92,23,37,29,9,88,82,59
Alabama,1,87,60,33,18,86,86,41,68,61,70,36,68,84,81,54
Alabama,2,55,57,50,64,69,87,34,66,23,38,75,50,96,78,35
Alabama,3,33,30,38,16,40,77,42,58,23,35,17,19,77,79,28
Alaska,0,72,65,100,65,100,71,62,87,53,79,37,85,77,54,48
Alaska,1,80,100,35,41,58,69,82,100,73,82,50,43,76,60,39
Alaska,2,52,83,74,56,47,47,42,87,35,33,51,30,91,53,34
Alaska,3,59,87,77,53,58,50,69,38,45,69,100,47,59,46,31
Arizona,0,70,54,49,5,38,85,53,84,36,55,41,21,95,80,48
Arizona,1,93,63,100,21,82,76,51,72,76,76,42,67,82,86,94
Arizona,2,100,100,55,89,63,100,48,54,44,97,100,86,96,55,87
Arizona,3,69,47,77,13,51,74,50,59,26,86,20,38,67,72,53
Arkansas,0,48,29,41,0,34,88,52,86,26,47,27,18,86,73,59
Arkansas,1,79,66,45,18,73,79,49,76,58,68,38,44,80,76,54
Arkansas,2,60,66,39,54,53,86,39,91,29,67,66,36,88,68,36
Arkansas,3,42,40,35,38,34,92,45,48,29,65,23,18,72,74,33
California,0,82,45,50,7,68,76,73,89,57,60,65,14,91,65,57
California,1,80,60,70,23,83,68,78,76,89,79,49,62,82,53,95
California,2,73,73,58,44,70,69,75,55,37,45,62,77,68,50,100
California,3,52,41,51,11,61,61,81,70,31,57,7,37,58,59,62
Colorado,0,60,20,53,9,36,74,78,65,37,57,34,7,79,83,45
Colorado,1,87,77,59,39,66,75,70,72,82,81,49,72,74,89,91
Colorado,2,64,65,53,29,54,55,52,67,29,44,53,32,61,76,45
Colorado,3,74,79,58,34,53,70,57,59,42,68,11,50,74,77,68
Connecticut,0,54,26,45,23,40,77,53,71,39,71,40,18,85,84,44
Connecticut,1,86,63,60,56,76,87,70,83,70,81,40,64,84,73,50
Connecticut,2,63,57,45,27,72,55,63,75,58,34,54,35,61,69,30
Connecticut,3,74,76,37,18,60,70,65,50,79,53,13,55,77,74,60
Delaware,0,48,77,64,0,21,74,49,66,35,57,44,100,81,75,28
Delaware,1,89,56,47,37,88,75,84,70,69,86,48,72,80,78,64
Delaware,2,73,58,59,34,58,60,60,49,51,51,52,96,62,75,30
Delaware,3,59,45,37,34,54,80,81,55,42,61,56,71,69,69,55
District of Columbia,0,65,27,30,27,54,57,100,53,67,100,39,53,56,100,86
District of Columbia,1,84,68,47,68,58,77,85,63,77,97,41,100,87,82,77
District of Columbia,2,69,73,48,32,59,60,100,30,36,60,59,87,56,61,52
District of Columbia,3,56,54,46,10,72,55,90,32,60,100,0,100,52,79,50
Florida,0,50,23,50,13,36,59,52,69,36,41,32,17,71,100,62
Florida,1,90,55,63,21,79,70,51,73,64,75,40,77,77,91,85
Florida,2,86,80,48,76,60,78,49,50,35,37,74,100,84,77,47
Florida,3,54,38,45,13,43,63,63,61,27,36,10,38,63,85,41
Georgia,0,46,28,48,11,34,68,53,74,30,44,34,12,73,89,51
Georgia,1,81,55,43,29,77,74,44,74,65,72,33,54,82,83,70
